regional_number,national_dex,pokemon,generation,family_id,primary_habitat,first_availability,notes
1,387,Turtwig,4,1,starter / forest-plains,Starter choice,Starter family
2,388,Grotle,4,1,starter / forest-plains,Starter choice,Starter family
3,389,Torterra,4,1,starter / forest-plains,Starter choice,Starter family
4,390,Chimchar,4,2,starter / rocky grassland,Starter choice,Starter family
5,391,Monferno,4,2,starter / rocky grassland,Starter choice,Starter family
6,392,Infernape,4,2,starter / rocky grassland,Starter choice,Starter family
7,393,Piplup,4,3,starter / coast-tundra,Starter choice,Starter family
8,394,Prinplup,4,3,starter / coast-tundra,Starter choice,Starter family
9,395,Empoleon,4,3,starter / coast-tundra,Starter choice,Starter family
10,161,Sentret,2,4,central plains,Route 1,Common early mammal
11,162,Furret,2,4,central plains,Route 1,Common early mammal
12,427,Buneary,4,5,central plains / forest edge,Route 1,Common early mammal
13,428,Lopunny,4,5,central plains / forest edge,Route 1,Common early mammal
14,396,Starly,4,6,plains / coast / migration corridors,Route 1,Common regional bird
15,397,Staravia,4,6,plains / coast / migration corridors,Route 1,Common regional bird
16,398,Staraptor,4,6,plains / coast / migration corridors,Route 1,Common regional bird
17,403,Shinx,4,7,plains / developed edges,Route 1,Early Electric option
18,404,Luxio,4,7,plains / developed edges,Route 1,Early Electric option
19,405,Luxray,4,7,plains / developed edges,Route 1,Early Electric option
20,163,Hoothoot,2,8,forest / plains at night,Route 1 night,Night encounter
21,164,Noctowl,2,8,forest / plains at night,Route 1 night,Night encounter
22,179,Mareep,2,9,farmland / grassland,Route 2,Rural Electric line
23,180,Flaaffy,2,9,farmland / grassland,Route 2,Rural Electric line
24,181,Ampharos,2,9,farmland / grassland,Route 2,Rural Electric line
25,43,Oddish,1,10,forest / wetland,Route 2,Common plant line
26,44,Gloom,1,10,forest / wetland,Route 2,Common plant line
27,45,Vileplume,1,10,forest / wetland,Route 2,Common plant line
28,182,Bellossom,2,10,forest / wetland,Route 2,Common plant line
29,265,Wurmple,3,11,forest,Route 2,Early bug line
30,266,Silcoon,3,11,forest,Route 2,Early bug line
31,267,Beautifly,3,11,forest,Route 2,Early bug line
32,268,Cascoon,3,11,forest,Route 2,Early bug line
33,269,Dustox,3,11,forest,Route 2,Early bug line
34,167,Spinarak,2,12,forest at night,Verdant Forest,Night bug
35,168,Ariados,2,12,forest at night,Verdant Forest,Night bug
36,46,Paras,1,13,deep forest / caves,Verdant Forest,Fungal decomposer
37,47,Parasect,1,13,deep forest / caves,Verdant Forest,Fungal decomposer
38,214,Heracross,2,14,deep forest,Verdant Forest rare,Rare forest beetle
39,123,Scyther,1,15,forest / mountain,Verdant Forest rare,Rare predator; Scizor evolves normally
40,212,Scizor,2,15,forest / mountain,Verdant Forest rare,Rare predator; Scizor evolves normally
41,193,Yanma,2,16,forest streams / wetland,Verdant Forest,Wetland insect
42,469,Yanmega,4,16,forest streams / wetland,Verdant Forest,Wetland insect
43,198,Murkrow,2,17,forest / hills at night,Route 3 night,Nocturnal scavenger
44,430,Honchkrow,4,17,forest / hills at night,Route 3 night,Nocturnal scavenger
45,228,Houndour,2,18,dry forest / foothills,Route 4,Predator; Team Verdant motif
46,229,Houndoom,2,18,dry forest / foothills,Route 4,Predator; Team Verdant motif
47,207,Gligar,2,19,rocky forest / mountains,Route 4,Cliff-dweller
48,472,Gliscor,4,19,rocky forest / mountains,Route 4,Cliff-dweller
49,451,Skorupi,4,20,forest floor / wetland / desert,Route 4,Adaptable venomous species
50,452,Drapion,4,20,forest floor / wetland / desert,Route 4,Adaptable venomous species
51,406,Budew,4,21,forest edge / lake / wetland,Route 2,Common flower line
52,315,Roselia,3,21,forest edge / lake / wetland,Route 2,Common flower line
53,407,Roserade,4,21,forest edge / lake / wetland,Route 2,Common flower line
54,114,Tangela,1,22,wetland / ancient forest,Mirelow Preserve,Dense vegetation
55,465,Tangrowth,4,22,wetland / ancient forest,Mirelow Preserve,Dense vegetation
56,285,Shroomish,3,23,humid forest,Verdant Forest,Forest fungus
57,286,Breloom,3,23,humid forest,Verdant Forest,Forest fungus
58,453,Croagunk,4,24,wetland,Mirelow Wetlands,Marsh amphibian
59,454,Toxicroak,4,24,wetland,Mirelow Wetlands,Marsh amphibian
60,194,Wooper,2,25,rivers / wetlands,Great Lake approaches,Freshwater amphibian
61,195,Quagsire,2,25,rivers / wetlands,Great Lake approaches,Freshwater amphibian
62,54,Psyduck,1,26,lake / rivers,Route 5,Freshwater
63,55,Golduck,1,26,lake / rivers,Route 5,Freshwater
64,129,Magikarp,1,27,all major waters,Old Rod,Common fishing line
65,130,Gyarados,1,27,all major waters,Old Rod,Common fishing line
66,118,Goldeen,1,28,lake / rivers,Good Rod,Freshwater fish
67,119,Seaking,1,28,lake / rivers,Good Rod,Freshwater fish
68,170,Chinchou,2,29,deep lake / coast,Great Lake Surf,Deep-water Electric line
69,171,Lanturn,2,29,deep lake / coast,Great Lake Surf,Deep-water Electric line
70,349,Feebas,3,30,Great Lake,Great Lake Super Rod rare,Rare lake species
71,350,Milotic,3,30,Great Lake,Great Lake Super Rod rare,Rare lake species
72,422,Shellos,4,31,river delta / coast,Route 8,Water-edge gastropod
73,423,Gastrodon,4,31,river delta / coast,Route 8,Water-edge gastropod
