order,location,type,level_or_feature,next,field_move,story
0,Willowmere Town,Starting town,Little Lake; player/rival homes,Route 1,—,Opening / bedroom / departure
1,Route 1 - Little Lake Trail,Route,2-4,Cedarbrook,None,Starter/Pokédex introduction
2,Cedarbrook Town,Small research town,Professor Linden Lab,Route 2,—,"Starter, Pokédex, catching tutorial"
3,Route 2 - Southwood Path,Route,4-7,Meadowgate,Optional Cut later,Forest edge to plains
4,Meadowgate City,Major city / Gym 1,Mara ace Lv15,Route 3,Harvest Badge -> Cut,Team Verdant protest before/around Gym 1
5,Route 3 - Greenway Road,Route,9-12,Verdant Forest,Optional Cut,Early Verdant roadblock
6,Verdant Forest,Forest dungeon,11-15,Alderwood,Optional Cut,First grunt battles; Wildheart foreshadowing
7,Alderwood City,Forest city / Gym 2,Silas ace Lv22,Route 4,Canopy Badge -> Rock Smash,Conservation Center / Verdant outreach office
8,Route 4 - Deepwood Trail,Route,15-18,Granite Hollow,Rock Smash,Forest to foothills
9,Granite Hollow Mines,Mine/cave dungeon,17-22,Route 5,Rock Smash limited,Briar #1; sabotage/collapse rescue
10,Route 5 - Lakeside Rise,Route,21-24,Lakehurst,None,Mine exit to Great Lake
11,Lakehurst City,Major lake city / Gym 3,Nadia ace Lv30,Route 6,Current Badge -> Surf,Museum; Foundation HQ; Vale #1
12,Route 6 - Riverbend Route,Route,24-28,Driftwood,Surf short mandatory,Calder #1 at river control station
13,Driftwood Town,Small fishing town,Lighthouse / fishing shop,Route 7,—,Pacing break; fishing rod
14,Route 7 - Westshore Road,Coastal route,28-32,Seabreak,Surf optional,Rocky coast -> beaches
15,Seabreak City,Major port / Gym 4,Gideon ace Lv37,Route 8,Signal Badge -> Fly,Harbor raid; Briar #2
16,Route 8 - Southcoast Trail,Route,33-37,Mirehaven,Surf optional,Beach -> delta -> reeds
17,Mirehaven City,Wetland city / Gym 5,Marlowe ace Lv43,Route 9,Mire Badge -> Defog,Monitoring Center; Mirelow Preserve
18,Mirelow Preserve,Optional preserve,36-40,Mirehaven,Defog optional,Rare habitat Pokémon / Great Marsh analogue
19,Lakehurst Verdant HQ,Story dungeon,~40-44,Return to Lakehurst,Fly utility,Calder #2; Great Restoration discovered
20,Route 9 - Reedwater Route,Route,39-43,Suncleft,Defog low-use,Wetland -> drylands
21,Suncleft City,Desert city / Gym 6,Tarin ace Lv49,Route 10,Basin Badge -> Strength,Archaeology Institute; fossil lab; relic raid
22,Route 10 - Eastcrest Foothills,Route,44-48,Eastcrest Caverns,Strength,Team Verdant mountain pursuit
23,Eastcrest Caverns,Mountain dungeon,46-50,Route 11,Strength moderate,Shrine machinery / Great Restoration setup
24,Route 11 - Alpine Trail,Route,49-52,Frostveil,None,Treeline -> snow
25,Frostveil City,Remote tundra / Gym 7,Elara ace Lv55,Wildheart approach,Aurora Badge -> Rock Climb,Northern shrine theft before Gym 7
26,Wildheart Sanctuary,Major story dungeon,50-54,Route 12,Rock Climb,Briar #3 -> Calder #3 -> Vale #2 -> Celebi crisis
27,Route 12 - Whitecrest Pass,Alpine route,54-58,Cragspire,Rock Climb,Post-crisis high mountain traverse
28,Cragspire Town,Tiny mining post / Gym 8,Garrick ace Lv62,Route 13,Summit Badge -> Waterfall,Last inhabited post before League
29,Route 13 - Champion's Ascent,Route,58-61,Victory Road,Waterfall gate ahead,Short final outdoor route
30,Victory Road,Mountain cave dungeon,59-63,Crownpeak,Waterfall; Surf/Strength/Rock Climb,Final trainer gauntlet
31,Crownpeak Plateau,Pokémon League,E4 62-68; Champion 68-72,Hall of Fame,—,Elite Four and Champion Aster
32,Wild Frontier,Postgame wilderness,60-70,Multiple subareas,All field moves optional,"Dex completion, rare species, rematches, optional legends"
